sample,TOT_DEP,CITY,COUNTY,STATE,OPEN_DT,ZIP5,DEP_YR3,unique_id,INSTITUTION_SIZE,P002001,P002002,P002003,P002004,P002005,P015001,P016001,P017001,P018001,P018002,P018005,P027001,P027002,P027024,P031001,P032001,P033001,H001001,H003001,H003002,H003003,H004001,H004002,H004003,P030001,P030002,P030003,P030004,P030005,P030006,P030007,P030008,P030009,P030010,P030011,P030012,P030013,P030014,P030015,P030016,P032002,P032003,P032004,P032005,P032006,P032007,P032008,P032009,P032010,P032011,P032012,P032013,P035001,P035002,P035003,P035004,P035005,P035006,P035007,P035008,P035009,P035010,P052001,P052002,P052003,P052004,P052005,P052006,P052007,P052008,P052009,P052010,P052011,P052012,P052013,P052014,P052015,P052016,P052017,P053001,P060001,P060002,P060003,P061001,P061002,P061003,P076001,P076002,P076003,P076004,P076005,P076006,P076007,P076008,P076009,P076010,P076011,P076012,P076013,P076014,P076015,P076016,P076017,P077001,P082001,H034001,H034002,H034003,H034004,H034005,H034006,H034007,H034008,H034009,H034010,H040001,H040002,H040003,H040004,H040005,H040006,H040007,H040008,H040009,H040010,H047001,H047002,H047003,H050001,H050002,H050003,H084001,H084002,H084003,H084004,H084005,H084006,H084007,H084008,H084009,H084010,H084011,H084012,H084013,H084014,H084015,H084016,H084017,H084018,H084019,H084020,H084021,H084022,H084023,H084024,H084025,NUM_BANK,NUM_BR,Longitude,Latitude,Column 172
Build,623632,Warrenton,Fauquier,Virginia,10/31/2005,20186,42493,10000166,SMALL,11138,6549,0,,,4300,10716,2.49,4300,1182,3118,11138,10716,422,2856,8708,3.05,4555,4555,4300,255,4300,2852,1448,5308,4736,4211,525,38,9,0,6,7,,16,0,0,282,21,231,2677,25,2652,845,0,845,573,0,573,982,13,969,5308,4736,4211,525,342,105,14,29,35,572,4189,218,170,242,148,223,195,141,175,186,428,604,636,400,185,142,96,59235,4189,601,3588,4189,1857,2332,2709,72,110,98,65,98,66,66,59,142,318,461,503,300,156,121,74,66924,27776,4469,138,479,377,963,621,341,520,184,846,4193,1604,442,1556,458,8,88,0,27,10,4469,4423,46,4469,4416,53,2842,0,0,8,0,0,0,0,0,17,69,60,113,184,340,280,394,218,391,259,209,143,74,43,40,7,9,-77.8145,38.707135,0.0273510199
Build,170471,Havre De Gra,Harford,Maryland,04/23/2007,21078,26225,10000271,LARGE,15841,12103,12103,,,6277,15629,2.49,6277,1760,4517,15841,15629,212,4179,12730,3.05,6743,6743,6277,466,6277,4080,2197,7702,6870,5960,910,158,41,6,0,47,,64,28,45,344,23,234,4851,69,4782,1126,19,1107,741,8,733,750,62,688,7702,6870,5960,910,751,135,24,0,0,832,6302,490,269,357,421,343,605,350,283,292,493,903,817,343,155,86,95,45522,6302,618,5684,6302,2340,3962,4210,172,88,163,186,155,380,261,214,221,377,702,691,295,147,80,78,56366,22480,6728,178,587,771,531,908,932,1029,500,1292,6291,2556,223,1719,1693,0,45,0,23,32,6728,6700,28,6728,6704,24,4098,91,58,38,12,0,22,22,55,24,99,135,232,326,759,631,631,417,242,195,81,6,18,4,0,6,8,-76.11118,39.554644,0.0298160615
Build,428848,South Boston,Halifax,Virginia,05/23/2007,24592,20613,10000362,SMALL,14312,7588,0,,,5848,13604,2.33,5848,1816,4032,14312,13604,708,3877,11248,2.9,6509,6509,5848,661,5848,4042,1806,5418,5201,4467,734,0,0,0,0,0,,0,19,0,26,42,130,4165,0,4165,612,0,612,224,0,224,287,0,287,5418,5201,4467,734,580,126,16,0,12,217,5746,979,500,502,388,537,356,337,410,273,452,418,348,101,35,62,48,29471,5746,472,5274,5746,1635,4111,3825,320,251,291,231,305,283,288,380,227,373,355,314,72,35,52,48,37953,16920,6484,115,260,500,862,1312,1256,767,579,833,5781,80,823,2430,2105,0,327,0,16,0,6484,6328,156,6484,6335,149,3940,139,57,43,49,72,89,279,338,395,423,413,564,208,254,213,148,136,54,30,0,7,7,14,8,6,8,-78.92008,36.701855,0.0324572749
Build,299320,Great Falls,Fairfax,Virginia,09/12/2007,22066,31101,10000394,SMALL,16958,13977,13977,,,5374,16958,3.16,5374,388,4986,16958,16958,0,4859,15992,3.29,5481,5481,5374,107,5374,5128,246,8174,7158,6338,820,145,14,0,131,0,,0,0,0,90,52,729,3432,12,3420,2273,9,2264,995,21,974,745,103,642,8174,7158,6338,820,712,68,15,25,0,1016,5471,34,31,56,42,53,61,56,56,24,138,282,561,593,637,891,1956,154817,5471,1268,4203,5471,4008,1463,4969,22,10,27,23,46,37,27,61,14,108,252,509,539,621,821,1852,159272,69332,5499,189,515,681,1657,1666,387,169,79,156,5399,2135,164,2467,617,0,16,0,0,0,5499,5499,0,5499,5499,0,5179,0,0,0,0,9,0,8,8,0,16,7,6,0,0,0,56,82,223,329,847,836,1312,853,587,5,5,-77.30165,39.003809,0.0333374154
Build,634645,Christiansbu,Montgomery,Virginia,07/04/2007,24073,14997,10000426,SMALL,25200,17002,16323,,,10248,24790,2.42,10248,2542,7706,25200,24790,410,7142,20623,2.89,10734,10734,10248,486,10248,7318,2930,13071,12467,11228,1239,20,8,0,0,0,,12,5,43,96,64,376,9861,12,9849,1758,8,1750,659,0,659,417,0,417,13071,12467,11228,1239,962,232,36,9,0,604,10292,796,705,766,730,781,706,688,682,614,1066,1260,977,309,64,73,75,39777,10292,1072,9220,10292,3496,6796,7235,290,285,371,392,540,523,512,555,516,898,1072,825,269,64,73,50,46597,18856,10687,275,1369,1224,2261,2139,1110,1032,562,715,10222,1520,343,6219,1718,8,388,9,17,0,10687,10623,64,10687,10632,55,7323,286,148,144,148,123,107,126,230,382,426,561,696,726,1158,876,419,161,289,168,97,45,0,0,7,9,16,-80.41222,37.136013,0.0411541162
Build,1435070,Arlington,Arlington,Virginia,03/09/2007,22201,15816,10000254,SMALL,25338,25338,25338,,,13791,24676,1.79,13791,7034,6757,25338,24676,662,4423,11710,2.65,14403,14403,13791,612,13791,4776,9015,18065,9906,8562,1344,6398,436,13,5849,65,,35,41,192,971,91,466,9536,2332,7204,6034,3149,2885,1333,657,676,696,260,436,18065,9906,8562,1344,1137,154,12,14,27,8159,13791,679,269,417,468,505,735,520,675,635,1094,2028,1976,1334,822,853,781,65810,13791,1307,12484,13791,7786,6005,4499,161,36,137,133,128,194,89,98,158,266,525,661,635,354,457,467,85905,46228,14331,503,1273,1591,2436,814,1408,1979,2191,2136,13757,7265,166,5364,788,0,7,0,123,44,14331,14260,71,14331,14280,51,4702,0,9,0,6,0,0,10,10,56,35,93,256,124,260,351,261,310,831,654,718,388,274,47,9,11,19,-77.09512,38.885337,0.0425120266
Build,116123,Richmond,Henrico,Virginia,10/18/2005,23236,4118,10000088,SMALL,23855,23855,23855,,,8744,23778,2.72,8744,1456,7288,23855,23778,77,6913,21123,3.06,8913,8913,8744,169,8744,7770,974,13243,12646,11566,1080,34,22,0,0,12,,0,0,6,39,75,443,8218,0,8218,3590,12,3578,534,17,517,458,5,453,13243,12646,11566,1080,924,114,22,6,14,597,8709,166,233,176,256,326,492,417,495,465,902,1397,1523,857,445,270,289,64847,8709,1120,7589,8709,4217,4492,6795,73,85,83,133,169,271,284,299,358,788,1217,1346,800,385,262,242,70841,28099,8836,53,383,609,3382,3066,893,247,116,87,8669,2374,186,5146,897,0,44,9,6,7,8836,8819,17,8836,8814,22,7693,0,0,0,6,8,0,0,16,67,163,300,687,933,1845,1529,670,342,492,252,303,42,23,15,0,3,4,-77.58235,37.475798,0.0429131472
Build,518960,Reston,Fairfax,Virginia,12/05/2006,20191,25967,10000329,SMALL,28881,28881,28881,,,11373,28881,2.54,11373,2877,8496,28881,28881,0,7562,23070,3.05,11627,11627,11373,254,11373,8222,3151,17132,15027,12776,2251,885,307,0,509,5,,64,5,61,176,58,920,9752,141,9611,3464,115,3349,1477,170,1307,1519,459,1060,17132,15027,12776,2251,1777,273,156,30,15,2105,11487,336,261,258,261,287,414,378,406,395,962,1341,1991,1350,920,1126,801,79058,11487,1686,9801,11487,6060,5427,7726,165,108,103,129,182,214,211,191,230,522,816,1423,1094,708,957,673,92021,39640,11712,93,319,289,3325,6534,1048,61,38,5,11459,4888,76,5976,490,0,0,0,18,11,11712,11685,27,11712,11695,17,8279,0,9,5,0,8,0,0,37,120,229,301,267,343,716,1036,788,518,948,1047,1476,239,127,24,41,7,9,-77.3469,38.934709,0.0439575678
Build,41163,Harrisonburg,Rockingham,Virginia,07/19/2006,22802,13771,10000151,SMALL,21572,14623,14623,,,8486,20560,2.42,8486,2457,6029,21572,20560,1012,5222,15577,2.98,8819,8819,8486,333,8486,4577,3909,11315,9793,8350,1443,165,121,0,0,0,,44,31,109,591,151,475,9426,120,9306,803,12,791,279,14,265,332,19,313,11315,9793,8350,1443,1147,112,105,59,20,1522,8576,998,657,708,653,708,621,529,690,462,751,723,544,151,135,77,169,34388,8576,1176,7400,8576,2921,5655,5358,243,220,287,459,414,409,311,477,376,588,642,488,140,102,77,125,43272,19123,8867,176,539,737,1965,2027,877,997,540,1009,8542,1454,767,3973,1884,31,374,13,32,14,8867,8811,56,8867,8794,73,4592,108,85,46,16,5,11,26,87,101,173,469,652,659,664,511,304,182,131,170,96,77,19,0,0,3,4,-78.86302,38.477752,0.0441320264
Build,509459,Falls Church,Falls Church,Virginia,12/08/2007,22046,46896,10000467,SMALL,14252,14252,14252,,,5770,14183,2.46,5770,1677,4093,14252,14183,69,3679,11271,3.06,5905,5905,5770,135,5770,4162,1608,7827,6042,5160,882,1135,144,0,960,6,,25,12,68,190,31,349,4117,108,4009,2099,437,1662,905,463,442,357,127,230,7827,6042,5160,882,729,105,42,6,0,1785,5831,181,122,144,166,157,186,235,257,270,531,608,785,796,502,436,455,76806,5831,928,4903,5831,3637,2194,3660,79,35,54,78,79,67,95,152,122,299,333,489,664,366,397,351,96655,39641,5911,74,152,184,435,634,1193,1453,1382,404,5772,4292,57,1259,134,0,0,0,17,13,5911,5884,27,5911,5894,17,4131,6,0,0,0,0,6,6,7,14,64,101,60,52,163,134,205,412,927,636,678,387,243,30,0,7,10,-77.18098,38.886311,0.0466091491
Build,817401,Baltimore,Baltimore City,Maryland,04/23/2007,21224,10049,10000354,LARGE,48536,48536,48536,,,19997,47952,2.4,19997,6630,13367,48536,47952,584,11549,35528,3.08,23049,23049,19997,3052,19997,12804,7193,18876,14373,11283,3090,2607,2228,33,46,62,,230,0,111,1207,188,390,11534,847,10687,3991,629,3362,1268,390,878,1693,741,952,18876,14373,11283,3090,2483,369,180,41,17,4503,19718,3188,1822,1689,1360,1616,1552,974,1170,921,1483,1482,1467,506,197,125,166,30489,19718,1370,18348,19718,5396,14322,11335,1580,625,873,866,882,870,630,770,636,954,1046,928,350,150,59,116,34817,16434,22804,32,182,88,534,572,1598,4834,4173,10791,19829,14265,290,1841,3236,0,33,0,112,52,22804,22691,113,22804,22585,219,12672,74,128,174,246,195,316,443,1478,1821,2410,1900,1182,447,786,412,275,190,85,49,41,13,7,0,0,13,23,-76.55696,39.284607,0.0484006284
Build,978087,Chesapeake,Chesapeake City,Virginia,07/23/2007,23320,10019,10000436,SMALL,44439,43580,43580,,,17065,43566,2.55,17065,3964,13101,44439,43566,873,11983,36378,3.04,17718,17718,17065,653,17065,12016,5049,23340,22176,19949,2227,173,123,11,18,0,,21,8,36,298,209,440,16787,69,16718,4605,38,4567,711,26,685,797,40,757,23340,22176,19949,2227,1758,320,66,54,29,1164,17060,809,626,624,954,973,1024,1258,1312,975,1902,2538,2186,1057,325,250,247,49816,17060,1594,15466,17060,6187,10873,11951,328,193,363,561,629,578,831,819,646,1401,2065,1832,960,305,204,236,57182,22766,17718,563,2594,4242,5679,2146,1160,799,391,144,17095,6484,417,8972,1080,0,27,20,25,70,17718,17678,40,17718,17676,42,12021,213,141,65,7,23,26,27,96,213,802,913,966,1317,2146,1759,1402,645,548,455,138,95,16,0,8,13,20,-76.24511,36.761698,0.0487910034
Build,400600,Richmond,Chesterfield,Virginia,07/03/2006,23219,123033,10000363,LARGE,2410,2410,2410,,,987,1583,1.6,987,690,297,2410,1583,827,221,701,3.17,1223,1223,987,236,987,49,938,697,360,332,28,130,130,0,0,0,,0,13,17,168,9,0,571,97,474,65,10,55,37,14,23,24,9,15,697,360,332,28,19,0,0,0,9,337,935,444,114,102,72,25,58,40,22,0,22,18,9,0,0,0,9,11306,935,48,887,935,142,793,204,81,34,35,15,0,19,0,7,0,13,0,0,0,0,0,0,13375,9109,1156,0,0,9,33,243,108,105,79,579,940,397,37,429,36,0,7,6,0,28,1156,1118,38,1156,1109,47,54,11,0,0,0,0,0,7,0,0,13,5,0,0,0,12,0,6,0,0,0,0,0,0,0,6,9,-77.43536,37.541046,0.0511132916
Build,861891,Chantilly,Fairfax,Virginia,12/18/2006,20151,22626,10000442,SMALL,17162,17144,17144,,,5281,17115,3.24,5281,602,4679,17162,17115,47,4420,15486,3.5,5430,5430,5281,149,5281,4705,576,9155,8251,7170,1081,383,78,7,272,0,,26,0,21,132,31,337,4540,33,4507,2120,28,2092,1051,33,1018,1107,289,818,9155,8251,7170,1081,749,164,142,20,6,904,5394,59,72,41,34,120,174,156,122,229,378,663,1056,912,530,623,225,89862,5394,679,4715,5394,2817,2577,4485,47,43,40,15,99,118,111,116,171,239,583,831,783,481,621,187,94720,30820,5496,181,340,581,2746,1075,483,41,31,18,5347,2889,78,2277,85,0,0,0,8,10,5496,5442,54,5496,5466,30,4756,108,51,60,20,48,32,8,65,18,27,62,186,83,222,197,432,687,865,645,696,210,18,5,11,12,14,-77.4363,38.889111,0.057537047
Build,500716,Sterling,Loudoun,Virginia,11/07/2006,20164,31473,10000247,LARGE,34325,34309,34309,,,11696,34321,2.93,11696,2101,9595,34325,34321,4,8719,29170,3.35,11944,11944,11696,248,11696,9170,2526,19513,18231,15991,2240,220,82,0,80,6,,52,35,36,213,90,688,11016,58,10958,3840,5,3835,2244,19,2225,1725,138,1587,19513,18231,15991,2240,1746,300,142,14,38,1282,11754,238,120,184,341,235,412,466,651,539,1079,1998,2597,1425,778,454,237,71325,11754,1347,10407,11754,4865,6889,8768,65,43,142,175,151,261,326,379,350,803,1451,2163,1250,633,375,201,77004,27005,11971,291,517,1282,3269,4263,2016,244,36,53,11738,5314,63,6145,122,0,46,0,10,38,11971,11949,22,11971,11949,22,9244,7,13,0,0,0,9,0,0,40,54,181,232,497,897,1580,2832,1284,1095,327,167,14,15,0,0,9,13,-77.39295,39.011909,0.0596402257
Build,1205070,Washington,District Of Columbia,District Of Colum,12/19/2005,20005,14248,10000106,LARGE,10610,10610,10610,,,6266,10455,1.67,6266,4055,2211,10610,10455,155,1314,3939,3,6850,6850,6266,584,6266,1157,5109,6419,1340,1010,330,2126,682,86,1236,20,,102,0,217,2304,127,305,3897,815,3082,1407,823,584,487,289,198,323,199,124,6419,1340,1010,330,267,25,8,21,9,5079,6265,1228,399,399,439,515,469,372,291,215,483,474,512,191,124,70,84,31352,6265,456,5809,6265,1624,4641,1384,164,105,86,109,155,106,83,39,70,115,83,130,50,29,29,31,32281,26145,6882,54,153,29,567,832,1838,1008,746,1655,6268,2928,94,2587,493,0,0,10,37,119,6882,6824,58,6882,6789,93,1116,0,13,0,0,8,27,34,46,75,45,32,51,33,89,83,123,81,113,67,79,38,57,14,8,10,18,-77.03088,38.904461,0.0615857323
Build,57290,Quinton,New Kent,Virginia,12/03/2007,23141,28316,10000440,SMALL,4903,0,0,,,1814,4903,2.7,1814,257,1557,4903,4903,0,1476,4396,2.98,1866,1866,1814,52,1814,1640,174,2699,2638,2415,223,0,0,0,0,0,,0,0,0,14,0,47,1129,0,1129,1036,0,1036,232,0,232,255,0,255,2699,2638,2415,223,185,38,0,0,0,61,1815,42,47,44,70,91,77,126,74,101,187,361,365,128,59,32,11,62127,1815,282,1533,1815,693,1122,1466,15,5,35,23,80,53,92,61,91,169,296,332,123,48,32,11,65196,24488,1833,33,232,187,526,513,221,63,34,24,1780,25,146,1322,160,0,113,0,11,3,1833,1833,0,1833,1833,0,1643,17,0,0,0,3,0,4,0,38,99,71,89,142,332,350,217,150,98,22,0,11,0,0,0,1,1,-77.15127,37.506369,0.0654754278
Build,102057,Chilhowie,Smyth,Virginia,06/21/2007,24319,13205,10000334,SMALL,7255,1779,0,,,2855,6999,2.45,2855,654,2201,7255,6999,256,2117,6065,2.86,3110,3110,2855,255,2855,2163,692,3104,2935,2618,317,10,2,0,8,0,,0,0,0,37,31,91,2105,8,2097,605,2,603,149,0,149,154,0,154,3104,2935,2618,317,266,30,7,11,3,169,2859,336,277,270,258,254,247,185,208,130,254,227,116,35,34,6,22,30471,2859,285,2574,2859,722,2137,2104,97,177,191,148,192,168,161,203,116,238,222,112,34,21,2,22,37469,15639,3112,100,293,488,417,575,338,343,284,274,2873,169,96,1469,928,9,200,0,2,0,3112,3063,49,3112,3066,46,2190,156,104,97,73,54,85,52,109,197,213,285,139,160,205,111,61,39,14,32,2,0,0,0,2,4,4,-81.65827,36.776534,0.0655281814
